,0,1,2,3,4,5,6,7,8,9
0,SAT:2.867594,SAT:2.437728,SAT:2.20409,SAT:1.275195,SAT:15.061576,SAT:1.754164,SAT:10.999836,-1.0,SAT:2.067237,SAT:1.812627
1,SAT:3.684731,SAT:1.849234,-1.0,SAT:1.831399,SAT:5.596035,SAT:1.970909,SAT:2.06869,SAT:8.413803,SAT:2.118612,SAT:2.190035
2,SAT:2.779414,-1.0,SAT:2.393379,SAT:2.20165,SAT:2.773132,SAT:2.545122,SAT:2.024349,SAT:2.362719,SAT:1.869812,SAT:4.057467
3,-1.0,SAT:3.079168,SAT:2.465136,SAT:2.774294,SAT:4.567575,SAT:2.524015,SAT:3.242426,TIMEOUT,SAT:2.569089,SAT:3.139603
4,SAT:3.141036,SAT:6.965942,SAT:2.959673,TIMEOUT,-1.0,SAT:3.262349,SAT:2.375926,SAT:2.171366,SAT:4.15873,SAT:2.350058
