,0,1,2,3,4,5,6,7,8,9
36,UNS:0.04145,UNS:0.039288,UNS:0.041392,UNS:0.038777,UNS:0.042348,UNS:0.03907,UNS:0.040363,-1.0,UNS:0.041816,UNS:0.039426
37,UNS:0.038945,-1.0,UNS:0.040196,UNS:0.059755,UNS:0.039924,UNS:0.040306,UNS:0.03848,UNS:0.038725,UNS:0.039351,UNS:0.07681
38,UNS:0.109818,SAT:8.464784,-1.0,SAT:0.712578,UNS:0.038686,SAT:2.773593,UNS:0.688098,UNS:0.10025,UNS:0.3623,UNS:0.042194
39,UNS:0.042749,-1.0,UNS:0.040915,UNS:0.038735,UNS:0.040676,UNS:0.048085,UNS:0.042492,UNS:0.047817,UNS:0.038584,UNS:0.042735
40,UNS:0.038712,-1.0,UNS:0.079323,UNS:0.038857,UNS:0.038555,UNS:0.039251,UNS:0.047631,UNS:0.043424,UNS:0.040175,UNS:0.046106
41,UNS:0.042491,UNS:0.043307,UNS:0.038282,UNS:0.055948,UNS:0.053488,UNS:0.040533,UNS:0.043524,-1.0,UNS:0.045438,UNS:0.077203
42,UNS:0.038359,UNS:0.039932,UNS:0.043829,UNS:0.041536,-1.0,UNS:0.04326,UNS:0.04007,UNS:0.039065,UNS:0.045109,UNS:0.039471
43,UNS:0.052254,UNS:0.10667,-1.0,UNS:0.121953,UNS:0.043935,UNS:0.101863,SAT:0.881738,UNS:0.105655,UNS:0.150561,UNS:0.042718
44,UNS:0.039956,UNS:0.108161,UNS:0.156708,-1.0,UNS:0.039961,UNS:0.18855,UNS:0.03867,UNS:0.046824,UNS:0.038749,UNS:0.085872
45,UNS:0.038542,UNS:0.041351,UNS:0.042544,UNS:0.105861,UNS:0.06305,-1.0,UNS:0.135881,UNS:0.044263,UNS:0.101168,UNS:0.040955
46,UNS:0.04178,-1.0,UNS:0.926762,SAT:0.987925,UNS:17.005069,UNS:124.02962,UNS:0.074495,SAT:1.204376,UNS:0.542608,SAT:1.688969
47,UNS:0.041439,UNS:0.117884,-1.0,UNS:0.142912,UNS:0.052051,UNS:0.094741,UNS:0.10153,UNS:0.098954,UNS:0.042284,UNS:0.051039
48,UNS:0.039186,UNS:0.041375,UNS:0.044181,UNS:0.046378,-1.0,UNS:0.043738,UNS:0.056787,UNS:0.039994,UNS:0.040847,UNS:0.04316
49,UNS:0.038707,UNS:0.052579,UNS:0.044942,UNS:0.039599,-1.0,UNS:0.039118,UNS:0.040112,UNS:0.043445,UNS:0.040729,UNS:0.039723
50,UNS:0.335624,UNS:0.038032,UNS:0.039353,UNS:0.03853,UNS:0.039191,UNS:0.038747,-1.0,UNS:0.042006,UNS:0.03994,UNS:0.039128
51,UNS:0.039209,UNS:0.038571,UNS:0.03893,-1.0,UNS:0.104158,UNS:0.04049,UNS:0.043076,UNS:0.120164,UNS:0.04012,UNS:0.041313
52,TIMEOUT,UNS:0.043638,UNS:0.055924,UNS:0.095658,UNS:0.038209,-1.0,UNS:0.044871,UNS:0.039067,UNS:0.059891,UNS:0.098871
53,UNS:0.038661,UNS:0.041312,UNS:0.03902,UNS:0.095295,UNS:0.04328,-1.0,UNS:0.055536,UNS:0.039644,UNS:0.039069,UNS:0.039249
54,UNS:0.096292,UNS:0.042266,UNS:0.20035,UNS:0.14396,UNS:0.459063,UNS:0.103902,-1.0,UNS:0.038686,UNS:0.044084,UNS:0.041281
55,-1.0,UNS:0.052628,UNS:0.038979,UNS:0.039031,UNS:0.039025,UNS:0.041702,UNS:0.039021,UNS:0.038993,UNS:0.076527,UNS:0.039796
56,UNS:0.043746,UNS:0.042044,UNS:0.089285,UNS:0.038044,-1.0,UNS:0.084766,UNS:0.039235,UNS:0.040305,UNS:0.038268,UNS:0.045138
57,UNS:0.039483,-1.0,UNS:0.038153,UNS:0.04008,UNS:0.038932,UNS:0.048804,UNS:0.038086,UNS:0.042021,UNS:0.043986,UNS:0.15664
58,UNS:0.039019,UNS:0.038135,UNS:0.038511,UNS:0.041936,UNS:0.111013,UNS:0.04039,UNS:0.039632,UNS:0.042325,UNS:0.04312,-1.0
59,UNS:147.373407,UNS:0.160535,TIMEOUT,UNS:0.893812,UNS:100.890278,-1.0,SAT:41.327765,UNS:111.808302,UNS:0.107478,UNS:0.099718
60,UNS:0.03862,UNS:0.040874,UNS:0.042408,UNS:0.042811,UNS:0.03964,UNS:0.039369,UNS:0.041088,-1.0,UNS:0.039243,UNS:0.04076
61,UNS:0.040162,UNS:0.05326,SAT:0.435774,UNS:0.039502,UNS:0.039236,UNS:0.038961,UNS:0.047748,UNS:0.039353,-1.0,UNS:0.038619
62,UNS:0.043267,UNS:0.038925,UNS:0.038827,UNS:0.04235,SAT:0.572398,SAT:0.442648,UNS:0.148662,UNS:0.04212,UNS:0.04075,-1.0
63,UNS:0.048992,UNS:0.042706,UNS:0.103394,-1.0,UNS:0.122284,UNS:0.048282,UNS:0.043368,UNS:0.038768,UNS:0.039386,UNS:0.119046
64,UNS:0.045047,UNS:0.039325,UNS:0.109122,UNS:0.099146,UNS:0.047383,UNS:0.039374,UNS:0.038765,-1.0,UNS:0.039167,UNS:0.105735
65,UNS:0.040078,UNS:0.039396,UNS:0.081208,UNS:0.039309,-1.0,SAT:1.313846,UNS:0.044259,UNS:0.03945,UNS:0.050134,SAT:0.640177
66,UNS:0.100056,SAT:1.916984,SAT:0.779187,SAT:1.280409,SAT:0.764286,UNS:1.020807,-1.0,SAT:1.355234,UNS:102.120987,UNS:0.061682
67,UNS:0.045388,UNS:0.039587,UNS:0.153941,UNS:0.038723,-1.0,UNS:0.038881,UNS:0.038977,UNS:0.039653,UNS:0.039911,UNS:0.039475
68,UNS:0.040274,UNS:0.044679,UNS:0.039776,-1.0,UNS:0.038739,UNS:0.039899,UNS:0.039931,UNS:0.038428,UNS:0.040639,UNS:0.039496
69,-1.0,UNS:0.039063,UNS:0.038897,UNS:0.039196,UNS:0.039292,UNS:0.038675,UNS:0.038747,UNS:0.038568,UNS:0.039065,UNS:0.039085
70,UNS:0.041143,UNS:0.039277,UNS:0.039333,UNS:0.039437,UNS:0.040491,UNS:0.041224,UNS:0.040283,-1.0,UNS:0.04262,UNS:0.040094
71,-1.0,UNS:0.039989,UNS:0.039327,UNS:0.039684,UNS:0.051629,UNS:0.03926,UNS:0.041228,UNS:0.134973,UNS:0.044514,UNS:0.039116
72,UNS:0.120394,UNS:0.117196,-1.0,SAT:1.111055,UNS:0.040173,UNS:0.119922,UNS:0.227055,UNS:0.281374,UNS:0.039975,UNS:0.03903
73,UNS:0.039677,UNS:0.040945,UNS:0.317223,UNS:1.116724,UNS:0.043379,UNS:0.038788,UNS:0.039372,SAT:0.530657,SAT:0.810133,-1.0
