,0,1,2,3,4,5,6,7,8,9
0,SAT:3.406019,UNS:0.139683,TIMEOUT,TIMEOUT,SAT:3.406835,SAT:9.430947,TIMEOUT,-1.0,SAT:6.143141,SAT:2.387224
1,UNS:0.810552,UNS:0.118119,-1.0,UNS:0.103088,UNS:0.042533,UNS:0.129013,SAT:0.880878,UNS:0.06059,UNS:0.375579,UNS:0.039556
2,SAT:1.741012,-1.0,SAT:1.173276,SAT:4.185466,SAT:3.211514,TIMEOUT,SAT:1.530756,SAT:1.799745,SAT:1.522176,SAT:2.057327
3,-1.0,UNS:0.044538,UNS:0.052886,UNS:0.044637,UNS:0.043709,UNS:0.053331,UNS:0.19982,UNS:0.040893,UNS:0.042676,UNS:0.043253
4,TIMEOUT,UNS:0.100997,TIMEOUT,UNS:0.892291,-1.0,TIMEOUT,SAT:5.050349,UNS:0.108411,SAT:2.882385,SAT:1.175627
5,UNS:6.47266,-1.0,SAT:1.200103,SAT:3.811891,SAT:2.036256,TIMEOUT,SAT:4.548173,SAT:1.184682,SAT:1.654542,SAT:7.992445
6,UNS:0.117302,UNS:0.102768,UNS:0.898787,TIMEOUT,-1.0,SAT:36.197753,SAT:9.917967,UNS:0.109126,SAT:3.280867,SAT:1.374395
7,UNS:0.041816,UNS:0.047694,UNS:0.043009,UNS:0.13383,UNS:0.110517,UNS:0.04203,UNS:0.050281,UNS:0.105322,SAT:3.237191,-1.0
8,SAT:1.046581,UNS:2.233652,SAT:1.142114,UNS:0.104948,SAT:0.664761,-1.0,TIMEOUT,SAT:1.078761,SAT:1.006402,SAT:1.143197
9,UNS:0.042427,UNS:0.046134,UNS:0.045899,UNS:0.047245,UNS:0.105778,UNS:0.042429,UNS:0.047723,UNS:0.122269,SAT:0.968343,-1.0
10,-1.0,UNS:0.047578,UNS:0.225715,UNS:0.30772,UNS:0.051488,UNS:0.765511,UNS:0.23026,UNS:0.043867,UNS:37.300261,UNS:0.042808
11,SAT:1.588004,TIMEOUT,SAT:2.933671,SAT:5.563498,SAT:0.840907,SAT:5.640205,-1.0,TIMEOUT,SAT:1.538274,SAT:2.572317
12,UNS:0.044216,UNS:0.046378,UNS:0.045372,UNS:0.049525,UNS:0.11477,UNS:0.050277,UNS:0.042477,UNS:0.10913,SAT:3.038886,-1.0
13,-1.0,UNS:0.043444,UNS:0.043322,UNS:0.042116,UNS:0.044076,UNS:0.044498,UNS:0.043178,UNS:0.042832,UNS:0.043603,UNS:0.04431
14,UNS:0.051927,-1.0,TIMEOUT,SAT:23.221497,UNS:1.380005,SAT:32.22077,SAT:8.070516,TIMEOUT,SAT:33.786493,UNS:4.141951
15,SAT:1.823989,TIMEOUT,SAT:2.912008,SAT:2.66615,TIMEOUT,-1.0,SAT:3.771162,TIMEOUT,SAT:2.059112,TIMEOUT
16,UNS:0.043384,UNS:0.044962,UNS:0.046168,UNS:0.051163,UNS:0.112861,UNS:0.051659,UNS:0.051159,UNS:0.126248,UNS:0.278146,-1.0
17,SAT:3.363462,UNS:40.0085,SAT:4.714101,SAT:33.353669,SAT:9.490008,SAT:3.903558,SAT:2.59638,-1.0,SAT:4.528506,SAT:5.145211
18,SAT:5.816675,SAT:3.573222,SAT:2.569729,-1.0,SAT:3.053725,SAT:1.484994,SAT:1.838267,UNS:1.495666,SAT:1.807066,SAT:4.74804
19,UNS:30.079989,UNS:0.13248,TIMEOUT,TIMEOUT,-1.0,TIMEOUT,SAT:6.631605,TIMEOUT,SAT:1.93839,SAT:1.265358
