,0,1,2,3,4,5,6,7,8,9
36,UNS:0.039535,UNS:0.041561,UNS:0.040669,UNS:0.044006,UNS:0.115273,UNS:0.041735,UNS:0.038934,-1.0,UNS:0.03878,UNS:0.041356
37,UNS:0.06033,-1.0,UNS:0.044963,UNS:0.038252,UNS:0.051965,UNS:0.038414,UNS:0.038547,UNS:0.043042,UNS:0.03973,UNS:0.045851
38,UNS:0.042196,UNS:0.043936,-1.0,UNS:0.093945,UNS:0.038937,UNS:0.03852,UNS:0.045281,UNS:0.044007,UNS:0.094763,UNS:0.038399
39,UNS:0.041388,-1.0,UNS:0.038531,UNS:0.04112,UNS:0.040762,UNS:0.058328,UNS:0.045812,UNS:0.038921,UNS:0.038584,UNS:0.039553
40,UNS:0.040466,-1.0,UNS:0.04043,UNS:0.043341,UNS:0.048182,UNS:0.038157,UNS:0.038948,UNS:0.04336,UNS:0.039151,UNS:0.040496
41,UNS:0.134261,UNS:0.037994,UNS:0.038498,UNS:0.038293,UNS:0.068048,UNS:0.04116,UNS:0.041513,-1.0,UNS:0.047034,UNS:0.038412
42,UNS:0.041205,UNS:0.040243,UNS:0.039855,UNS:0.038191,-1.0,UNS:0.077616,UNS:0.038208,UNS:0.03921,UNS:0.043213,UNS:0.038134
43,UNS:0.043822,SAT:0.791414,-1.0,UNS:0.039248,UNS:0.043612,UNS:0.050874,UNS:0.045668,UNS:0.117091,UNS:0.099067,UNS:0.038062
44,UNS:0.048841,UNS:0.039263,UNS:0.04041,-1.0,UNS:0.040438,UNS:0.04099,UNS:0.03846,UNS:0.038438,UNS:0.038722,UNS:0.038751
45,UNS:0.038365,UNS:0.081774,UNS:0.03999,UNS:0.038752,UNS:0.038128,-1.0,UNS:0.093243,UNS:0.039137,UNS:0.03836,UNS:0.038896
46,UNS:0.038766,-1.0,UNS:0.037958,UNS:0.774828,UNS:0.072831,UNS:0.041015,UNS:0.160103,UNS:0.358308,UNS:0.080005,UNS:0.0393
