,0,1,2,3,4,5,6,7,8,9
0,UNS:0.08633,UNS:0.041465,UNS:0.041158,UNS:0.042288,UNS:0.054245,UNS:0.04333,UNS:0.105109,-1.0,UNS:0.039228,UNS:0.039304
1,UNS:0.270829,UNS:0.118866,-1.0,UNS:0.111271,UNS:0.041727,UNS:0.11147,SAT:0.79532,UNS:0.039938,UNS:0.043347,UNS:0.110868
2,UNS:0.040566,-1.0,UNS:0.041027,UNS:0.041359,UNS:0.038985,UNS:0.042128,UNS:0.090104,UNS:0.042246,UNS:0.039281,UNS:0.039353
3,-1.0,UNS:0.042256,UNS:0.092438,UNS:0.039541,UNS:0.102925,UNS:0.095045,UNS:0.039323,UNS:0.040706,UNS:0.04055,UNS:0.039518
4,UNS:0.099345,UNS:0.039502,UNS:0.039403,UNS:0.038822,-1.0,UNS:0.051274,UNS:0.039897,UNS:0.039912,UNS:0.039654,UNS:0.043423
5,UNS:0.039385,-1.0,UNS:0.040586,UNS:0.041437,UNS:0.03988,UNS:0.040621,UNS:0.040255,UNS:0.040194,UNS:0.040048,UNS:0.04692
6,UNS:0.041294,UNS:0.159346,UNS:0.040414,UNS:0.044589,-1.0,UNS:0.0425,UNS:0.042774,UNS:0.040505,UNS:0.043286,UNS:0.047944
7,UNS:0.04373,UNS:0.039211,UNS:0.039247,UNS:0.111895,UNS:0.048552,UNS:0.044866,UNS:0.173323,UNS:0.039228,UNS:0.041874,-1.0
8,UNS:0.102237,UNS:0.040734,UNS:0.100966,UNS:0.039496,SAT:0.471655,-1.0,SAT:0.518198,UNS:0.180221,SAT:0.697076,SAT:0.433337
9,UNS:0.05074,UNS:0.040231,UNS:0.047458,UNS:0.04271,UNS:0.108874,UNS:0.039027,UNS:0.040189,UNS:0.043682,UNS:0.039108,-1.0
10,-1.0,UNS:0.03904,UNS:0.097134,UNS:0.038936,UNS:0.053195,UNS:0.039956,UNS:0.049815,UNS:0.040311,UNS:0.042213,UNS:0.124046
11,UNS:0.128837,UNS:0.130332,SAT:8.561181,UNS:0.103098,SAT:1.232702,UNS:0.165103,-1.0,UNS:0.103978,UNS:0.159664,UNS:0.040681
12,UNS:0.038944,UNS:0.040268,UNS:0.039685,UNS:0.039708,UNS:0.039149,UNS:0.039925,UNS:0.038793,UNS:0.105992,UNS:0.03954,-1.0
13,-1.0,UNS:0.039391,UNS:0.0401,UNS:0.038832,UNS:0.044898,UNS:0.041195,UNS:0.0398,UNS:0.040031,UNS:0.041813,UNS:0.039512
14,UNS:0.039425,-1.0,UNS:0.039533,UNS:0.040148,UNS:0.138087,UNS:0.133229,UNS:0.040505,UNS:0.040124,UNS:0.043986,UNS:0.04635
15,UNS:0.043648,UNS:0.050241,UNS:0.051186,SAT:0.847734,UNS:0.039283,-1.0,UNS:0.073588,UNS:0.094901,UNS:0.088744,UNS:0.150595
16,UNS:0.039195,UNS:0.041048,UNS:0.039807,UNS:0.040277,UNS:0.09151,UNS:0.038711,UNS:0.039341,UNS:0.040966,UNS:0.044804,-1.0
17,UNS:0.073206,UNS:0.039048,UNS:0.042198,UNS:0.039792,UNS:0.067768,UNS:0.0414,UNS:0.039241,-1.0,UNS:0.039817,UNS:0.040286
18,UNS:0.04107,UNS:0.312293,UNS:0.108778,-1.0,UNS:0.047218,UNS:0.101811,UNS:0.041303,UNS:0.11712,SAT:2.294362,UNS:0.096
19,UNS:0.040516,UNS:0.039336,UNS:0.042367,UNS:0.039854,-1.0,UNS:0.039227,UNS:0.071955,UNS:0.038683,UNS:0.03941,UNS:0.043657
20,UNS:0.038884,UNS:0.045625,UNS:0.039542,UNS:0.04022,UNS:0.039495,UNS:0.040287,UNS:0.041687,UNS:0.076562,UNS:0.048249,-1.0
21,UNS:0.041742,UNS:0.041477,UNS:0.040864,UNS:0.041161,UNS:0.042024,UNS:0.039706,-1.0,UNS:0.038686,UNS:0.039233,UNS:0.044899
22,UNS:0.054763,UNS:0.03966,UNS:0.106214,UNS:0.073918,UNS:0.108317,UNS:0.04358,-1.0,UNS:0.041807,UNS:0.04174,UNS:0.039131
23,UNS:0.038507,UNS:0.053527,UNS:0.038963,UNS:0.039698,UNS:0.038981,-1.0,UNS:0.03931,UNS:0.03984,UNS:0.040055,UNS:0.039841
24,UNS:0.038973,UNS:0.040812,UNS:0.040856,UNS:0.039492,-1.0,UNS:0.044812,UNS:0.039413,UNS:0.106649,UNS:0.048356,UNS:0.120635
25,-1.0,UNS:0.03877,UNS:0.040828,UNS:0.041541,UNS:0.039679,UNS:0.040354,UNS:0.040482,UNS:0.039904,UNS:0.04052,UNS:0.041317
26,UNS:0.040627,UNS:0.074564,UNS:0.041391,UNS:0.039456,UNS:0.040206,UNS:0.039192,UNS:0.042112,-1.0,UNS:0.040055,UNS:0.062726
27,UNS:0.045484,UNS:0.09449,UNS:0.039644,UNS:0.044231,-1.0,UNS:0.044048,UNS:0.042915,UNS:0.039307,UNS:0.040174,UNS:0.043786
28,-1.0,UNS:0.040451,UNS:0.042572,UNS:0.040058,UNS:0.071111,UNS:0.039571,UNS:0.040426,UNS:0.041045,UNS:0.046717,UNS:0.041069
29,UNS:0.039368,-1.0,UNS:0.046607,UNS:0.040872,UNS:0.045381,UNS:0.061202,UNS:0.067834,UNS:0.03983,UNS:0.041922,UNS:0.041573
30,UNS:0.039247,UNS:0.107013,UNS:0.097603,-1.0,UNS:0.132449,UNS:0.096906,UNS:0.040393,UNS:0.202698,UNS:0.168013,SAT:0.511994
31,UNS:0.041838,-1.0,UNS:0.039209,UNS:0.040808,UNS:0.041605,UNS:0.041539,UNS:0.039106,UNS:0.039539,UNS:0.040972,UNS:0.03936
32,UNS:0.040295,UNS:0.039581,UNS:0.046804,-1.0,UNS:0.04595,UNS:0.038719,UNS:0.099726,UNS:0.122037,UNS:0.047523,UNS:0.038578
33,UNS:0.028599,UNS:0.107735,UNS:0.028321,UNS:0.027997,-1.0,UNS:0.027342,UNS:0.029354,UNS:0.029172,UNS:0.030949,UNS:0.028747
34,UNS:0.070576,UNS:0.040303,UNS:0.039155,UNS:0.039776,UNS:0.03929,UNS:0.038498,UNS:0.040762,-1.0,UNS:0.039994,UNS:0.040424
35,UNS:0.043439,UNS:0.129389,-1.0,SAT:0.758408,UNS:0.04035,UNS:1.432903,UNS:0.317812,UNS:0.040636,UNS:0.040402,UNS:0.04172
36,UNS:0.039435,UNS:0.039523,UNS:0.040282,UNS:0.038863,UNS:0.038938,UNS:0.054421,UNS:0.038729,-1.0,UNS:0.039155,UNS:0.04299
37,UNS:0.040201,-1.0,UNS:0.039277,UNS:0.044027,UNS:0.039139,UNS:0.131227,UNS:0.038523,UNS:0.040258,UNS:0.040245,UNS:0.039678
38,UNS:0.103965,SAT:2.311622,-1.0,SAT:1.239795,UNS:0.040011,SAT:2.341514,UNS:0.546743,UNS:0.103833,UNS:0.246921,UNS:0.040867
39,UNS:0.039997,-1.0,UNS:0.040072,UNS:0.039174,UNS:0.041017,UNS:0.039191,UNS:0.119626,UNS:0.041273,UNS:0.039121,UNS:0.039726
40,UNS:0.040088,-1.0,UNS:0.039288,UNS:0.039575,UNS:0.04244,UNS:0.039885,UNS:0.039777,UNS:0.04202,UNS:0.039767,UNS:0.039763
41,UNS:0.040072,UNS:0.04401,UNS:0.039663,UNS:0.080189,UNS:0.039728,UNS:0.044041,UNS:0.049284,-1.0,UNS:0.03952,UNS:0.041547
42,UNS:0.046119,UNS:0.038915,UNS:0.039492,UNS:0.039622,-1.0,UNS:0.050742,UNS:0.041232,UNS:0.042931,UNS:0.039275,UNS:0.040598
43,UNS:0.039303,UNS:0.100306,-1.0,UNS:0.101728,UNS:0.039154,UNS:0.10659,SAT:0.766902,UNS:0.127678,UNS:0.102613,UNS:0.041838
44,UNS:0.04238,UNS:0.108263,UNS:0.110146,-1.0,UNS:0.040312,UNS:0.131086,UNS:0.040889,UNS:0.066784,UNS:0.039568,UNS:0.043842
45,UNS:0.039705,UNS:0.039594,UNS:0.041845,UNS:0.100778,UNS:0.040417,-1.0,UNS:0.116509,UNS:0.038559,UNS:0.097809,UNS:0.039159
46,UNS:0.099377,-1.0,UNS:0.884073,SAT:1.072103,UNS:19.258846,UNS:133.536172,UNS:0.060019,SAT:4.255476,UNS:0.398376,SAT:11.849476
47,UNS:0.04154,UNS:0.18601,-1.0,UNS:0.105678,UNS:0.039726,UNS:0.04678,UNS:0.100398,UNS:0.102475,UNS:0.046586,UNS:0.039423
48,UNS:0.042092,UNS:0.043176,UNS:0.041519,UNS:0.046144,-1.0,UNS:0.042907,UNS:0.044223,UNS:0.043318,UNS:0.041446,UNS:0.038627
49,UNS:0.041084,UNS:0.039616,UNS:0.051614,UNS:0.041026,-1.0,UNS:0.045228,UNS:0.039751,UNS:0.039765,UNS:0.057995,UNS:0.039994
