,0,1,2,3,4,5,6,7,8,9
36,UNS:0.038271,UNS:0.038734,UNS:0.038954,UNS:0.039433,UNS:0.038525,UNS:0.038454,UNS:0.03921,-1.0,UNS:0.037937,UNS:0.038446
37,UNS:0.038929,-1.0,UNS:0.038682,UNS:0.039317,UNS:0.039113,UNS:0.038891,UNS:0.038934,UNS:0.040446,UNS:0.038335,UNS:0.037839
38,UNS:0.040421,UNS:0.041107,-1.0,UNS:0.096294,UNS:0.038961,UNS:0.038484,UNS:0.037682,UNS:0.038735,UNS:0.094947,UNS:0.037863
39,UNS:0.038091,-1.0,UNS:0.038885,UNS:0.038098,UNS:0.03953,UNS:0.038071,UNS:0.04006,UNS:0.040439,UNS:0.04116,UNS:0.038263
40,UNS:0.039839,-1.0,UNS:0.038959,UNS:0.039641,UNS:0.038739,UNS:0.039286,UNS:0.038331,UNS:0.038848,UNS:0.039052,UNS:0.042611
41,UNS:0.03794,UNS:0.038268,UNS:0.04003,UNS:0.039585,UNS:0.054394,UNS:0.038674,UNS:0.038344,-1.0,UNS:0.039348,UNS:0.040415
42,UNS:0.042202,UNS:0.038976,UNS:0.039908,UNS:0.039868,-1.0,UNS:0.040204,UNS:0.039281,UNS:0.040252,UNS:0.040701,UNS:0.041611
43,UNS:0.039865,UNS:0.103505,-1.0,UNS:0.038419,UNS:0.038422,UNS:0.038606,UNS:0.038409,UNS:0.038723,UNS:0.038969,UNS:0.040265
44,UNS:0.042675,UNS:0.037932,UNS:0.039003,-1.0,UNS:0.040283,UNS:0.038444,UNS:0.037982,UNS:0.040389,UNS:0.037731,UNS:0.038106
45,UNS:0.039092,UNS:0.038577,UNS:0.038409,UNS:0.043874,UNS:0.038539,-1.0,UNS:0.039567,UNS:0.039361,UNS:0.039864,UNS:0.037761
46,UNS:0.038481,-1.0,UNS:0.038067,UNS:8.351291,UNS:0.060447,UNS:0.041813,UNS:0.038247,UNS:0.332863,UNS:0.040935,UNS:0.039651
47,UNS:0.039294,UNS:0.03965,-1.0,UNS:0.039664,UNS:0.038616,UNS:0.041291,UNS:0.039505,UNS:0.039328,UNS:0.040595,UNS:0.039224
48,UNS:0.039604,UNS:0.038807,UNS:0.039855,UNS:0.039206,-1.0,UNS:0.038623,UNS:0.038763,UNS:0.037941,UNS:0.038893,UNS:0.038639
49,UNS:0.038601,UNS:0.038247,UNS:0.038507,UNS:0.038425,-1.0,UNS:0.038936,UNS:0.038369,UNS:0.038819,UNS:0.038028,UNS:0.040111
