,0,1,2,3,4,5,6,7,8,9
0,UNS:0.043908,UNS:0.135047,SAT:1.291171,UNS:0.043367,UNS:0.110422,UNS:0.110097,-1.0,UNS:0.484653,UNS:0.107747,UNS:0.039278
1,-1.0,UNS:0.040059,UNS:0.045931,UNS:0.051615,UNS:0.04968,UNS:0.044561,UNS:0.043997,UNS:0.038643,UNS:0.0425,UNS:0.038778
2,UNS:0.040151,UNS:0.04102,UNS:0.040586,UNS:0.051855,UNS:0.050751,-1.0,UNS:0.046734,UNS:0.041781,UNS:0.043442,UNS:0.041271
3,UNS:0.039793,UNS:0.048498,UNS:0.04052,UNS:0.041584,-1.0,UNS:0.040313,UNS:0.038959,UNS:0.039322,UNS:0.041507,UNS:0.041792
4,UNS:0.038054,UNS:0.041936,UNS:0.05109,UNS:0.042661,UNS:0.112619,SAT:0.427725,UNS:0.039173,UNS:0.043599,UNS:0.039124,-1.0
5,UNS:0.039888,UNS:0.038243,UNS:0.038865,UNS:0.03966,UNS:0.097995,UNS:0.03851,UNS:0.04007,UNS:0.099126,UNS:0.038778,-1.0
6,UNS:0.040052,UNS:0.038034,-1.0,UNS:0.039522,UNS:0.039889,UNS:0.039459,UNS:0.043332,UNS:0.039614,UNS:0.038461,UNS:0.041093
7,UNS:0.041675,-1.0,UNS:0.853361,UNS:0.1093,UNS:0.106466,UNS:0.114933,UNS:0.105378,UNS:0.106844,UNS:0.665286,UNS:0.052126
8,UNS:0.040019,UNS:0.04021,UNS:0.044574,UNS:0.040681,UNS:0.041415,UNS:0.042411,UNS:0.040226,UNS:0.041174,UNS:0.050725,-1.0
9,UNS:0.044044,UNS:0.038603,UNS:0.038667,UNS:0.038232,-1.0,UNS:0.038976,UNS:0.031283,UNS:0.045814,UNS:0.041717,UNS:0.13774
10,UNS:0.042806,UNS:0.04327,UNS:0.045017,UNS:0.040622,UNS:0.043134,UNS:0.042182,UNS:0.042328,UNS:0.038981,-1.0,UNS:0.040177
