,0,1,2,3,4,5,6,7,8,9
36,UNS:0.040246,UNS:0.038322,UNS:0.039991,UNS:0.03983,UNS:0.03918,UNS:0.04265,UNS:0.054394,-1.0,UNS:0.038695,UNS:0.046247
37,UNS:0.041001,-1.0,UNS:0.042745,UNS:0.040405,UNS:0.050901,UNS:0.040568,UNS:0.04131,UNS:0.05111,UNS:0.039715,UNS:0.04073
38,UNS:0.039152,UNS:0.04772,-1.0,UNS:0.112238,UNS:0.047385,UNS:0.142114,UNS:0.062043,UNS:0.041934,UNS:0.111764,UNS:0.038819
39,UNS:0.039744,-1.0,UNS:0.038722,UNS:0.039216,UNS:0.039952,UNS:0.039144,UNS:0.038323,UNS:0.039868,UNS:0.03928,UNS:0.040349
40,UNS:0.039574,-1.0,UNS:0.042705,UNS:0.039761,UNS:0.039872,UNS:0.039173,UNS:0.040114,UNS:0.040328,UNS:0.039486,UNS:0.038826
41,UNS:0.039155,UNS:0.038644,UNS:0.039156,UNS:0.041339,UNS:0.039091,UNS:0.040571,UNS:0.039878,-1.0,UNS:0.043326,UNS:0.039777
42,UNS:0.040999,UNS:0.041249,UNS:0.039901,UNS:0.038982,-1.0,UNS:0.038875,UNS:0.040834,UNS:0.03875,UNS:0.038467,UNS:0.038329
43,UNS:0.038965,UNS:0.038816,-1.0,UNS:0.039716,UNS:0.039991,UNS:0.03846,UNS:0.041047,UNS:0.038874,UNS:0.040477,UNS:0.039336
44,UNS:0.040411,UNS:0.039871,UNS:0.039874,-1.0,UNS:0.039107,UNS:0.041538,UNS:0.038008,UNS:0.038527,UNS:0.039301,UNS:0.038891
45,UNS:0.040325,UNS:0.040025,UNS:0.04187,UNS:0.038571,UNS:0.040029,-1.0,UNS:0.039945,UNS:0.040887,UNS:0.039428,UNS:0.040122
46,UNS:0.038366,-1.0,UNS:0.038383,UNS:0.039024,UNS:0.03879,UNS:0.039614,UNS:0.039052,UNS:0.040041,UNS:0.03898,UNS:0.040281
47,UNS:0.038999,UNS:0.038431,-1.0,UNS:0.038054,UNS:0.039516,UNS:0.045549,UNS:0.040764,UNS:0.039346,UNS:0.037946,UNS:0.039407
48,UNS:0.038233,UNS:0.038748,UNS:0.038717,UNS:0.039111,-1.0,UNS:0.038589,UNS:0.037994,UNS:0.041925,UNS:0.041755,UNS:0.040679
49,UNS:0.041231,UNS:0.040314,UNS:0.041177,UNS:0.039653,-1.0,UNS:0.038803,UNS:0.037871,UNS:0.038069,UNS:0.042264,UNS:0.044094
50,UNS:0.039941,UNS:0.03925,UNS:0.039137,UNS:0.042726,UNS:0.038398,UNS:0.039294,-1.0,UNS:0.038328,UNS:0.039043,UNS:0.038192
51,UNS:0.040382,UNS:0.04334,UNS:0.042923,-1.0,UNS:0.040402,UNS:0.039703,UNS:0.038296,UNS:0.041908,UNS:0.038833,UNS:0.053979
52,UNS:0.044355,UNS:0.038885,UNS:0.039922,UNS:0.038301,UNS:0.039943,-1.0,UNS:0.039989,UNS:0.038236,UNS:0.038284,UNS:0.040201
53,UNS:0.039373,UNS:0.043652,UNS:0.038023,UNS:0.040645,UNS:0.042518,-1.0,UNS:0.04372,UNS:0.045292,UNS:0.044041,UNS:0.03978
54,UNS:0.039699,UNS:0.0398,UNS:0.040754,UNS:0.040344,UNS:0.038134,UNS:0.03891,-1.0,UNS:0.038448,UNS:0.042379,UNS:0.04562
55,-1.0,UNS:0.039223,UNS:0.049144,UNS:0.039956,UNS:0.039037,UNS:0.046004,UNS:0.038137,UNS:0.038453,UNS:0.040793,UNS:0.044366
56,UNS:0.041492,UNS:0.042433,UNS:0.03967,UNS:0.04345,-1.0,UNS:0.041191,UNS:0.055043,UNS:0.040061,UNS:0.054765,UNS:0.038982
