,0,1,2,3,4,5,6,7,8,9
144,UNS:0.05249,UNS:0.057633,UNS:0.058655,UNS:0.058201,UNS:0.059426,UNS:0.053742,UNS:0.050275,-1.0,UNS:0.061497,UNS:0.051784
145,UNS:0.052202,-1.0,UNS:0.056339,TIMEOUT,UNS:16.97193,TIMEOUT,UNS:0.069665,TIMEOUT,UNS:0.053299,TIMEOUT
146,UNS:0.052588,UNS:0.05281,UNS:0.051694,UNS:0.052242,UNS:0.051895,UNS:0.053769,UNS:0.054861,UNS:0.06262,-1.0,UNS:0.051057
147,UNS:0.052962,UNS:0.050342,-1.0,UNS:0.051736,UNS:0.066914,UNS:0.052366,UNS:0.053445,UNS:0.057253,UNS:0.053473,UNS:0.053013
148,-1.0,UNS:0.054134,UNS:0.052238,UNS:0.052434,UNS:0.05329,UNS:0.054901,UNS:0.05782,UNS:0.096347,UNS:0.054836,UNS:0.052704
149,TIMEOUT,SAT:0.879557,-1.0,SAT:4.273236,SAT:0.542245,SAT:0.588288,SAT:0.488769,SAT:3.752339,SAT:0.541324,SAT:0.85318
150,UNS:0.061223,UNS:0.052896,UNS:0.052174,UNS:0.057371,UNS:0.071432,UNS:0.41934,UNS:0.068166,UNS:0.070715,UNS:0.060752,-1.0
151,UNS:0.05263,UNS:0.056355,UNS:0.053751,SAT:0.306722,UNS:0.055424,SAT:0.370421,UNS:0.064683,UNS:0.052115,SAT:0.304967,-1.0
152,UNS:0.056793,UNS:0.056549,UNS:0.078371,UNS:0.065857,UNS:0.057137,-1.0,UNS:0.055364,UNS:0.054028,UNS:0.05549,UNS:0.056619
153,UNS:0.05608,UNS:0.056986,UNS:0.057396,UNS:0.062054,UNS:0.06103,-1.0,UNS:0.060482,UNS:0.051296,UNS:0.056386,UNS:0.054867
154,UNS:0.07658,-1.0,UNS:0.056806,UNS:0.173042,UNS:0.062296,UNS:0.169505,UNS:0.07441,UNS:0.189648,UNS:0.055803,UNS:0.052959
155,UNS:0.053384,UNS:0.054069,UNS:0.058279,UNS:0.054178,UNS:0.058827,-1.0,UNS:0.061364,UNS:0.06866,UNS:0.067505,UNS:0.063939
156,UNS:0.052708,UNS:0.054501,UNS:0.069493,UNS:0.054736,UNS:0.520351,UNS:0.054775,-1.0,UNS:0.05428,UNS:0.069606,UNS:0.062247
157,-1.0,UNS:0.051127,UNS:0.058634,UNS:0.069405,UNS:0.053849,UNS:0.060404,UNS:0.057396,UNS:0.062107,UNS:0.062329,UNS:0.053449
158,UNS:0.073303,UNS:0.059297,SAT:2.697031,-1.0,UNS:0.052165,UNS:0.06299,UNS:0.061772,UNS:0.062749,UNS:0.057586,UNS:0.058095
159,UNS:0.065722,UNS:0.062362,UNS:0.463556,SAT:3.98263,-1.0,SAT:3.082057,UNS:0.05182,SAT:0.818981,UNS:0.050152,SAT:0.528094
160,UNS:0.053877,UNS:0.054827,UNS:0.051422,UNS:0.056428,-1.0,UNS:0.052519,UNS:0.050981,UNS:0.051539,UNS:0.051345,UNS:0.051199
161,UNS:0.049955,UNS:0.052736,UNS:0.051076,UNS:0.065357,UNS:0.050701,UNS:0.052608,-1.0,UNS:0.055326,UNS:0.083919,UNS:0.050319
162,UNS:0.053717,UNS:0.052146,UNS:0.051969,UNS:0.053058,UNS:0.055035,-1.0,UNS:0.051794,UNS:0.052129,UNS:0.051602,UNS:0.0512
163,UNS:0.052952,UNS:0.050229,UNS:0.051178,UNS:0.056034,-1.0,UNS:0.052638,UNS:0.052357,UNS:0.052163,UNS:0.052929,UNS:0.059585
164,UNS:0.053744,UNS:0.050253,UNS:0.052508,UNS:0.054171,SAT:0.851563,UNS:0.055569,-1.0,UNS:0.05452,UNS:0.051423,UNS:0.051499
165,UNS:0.058519,UNS:0.051899,UNS:0.051239,UNS:0.052224,UNS:0.052828,-1.0,UNS:0.051971,UNS:0.06981,UNS:0.051172,UNS:0.05122
166,UNS:0.053444,UNS:0.055426,UNS:0.053511,UNS:0.051312,-1.0,UNS:0.051424,UNS:0.053655,UNS:0.061526,UNS:0.052347,UNS:0.049881
167,UNS:0.052204,SAT:1.408469,SAT:1.656788,SAT:1.616718,SAT:21.772281,-1.0,TIMEOUT,UNS:0.361429,UNS:5.122612,UNS:0.296555
168,UNS:0.060087,-1.0,UNS:0.052342,UNS:0.059817,UNS:0.05978,UNS:0.064035,UNS:0.080585,UNS:0.053729,UNS:0.051772,UNS:0.064451
169,UNS:0.054326,UNS:0.054377,UNS:0.052986,UNS:0.057499,-1.0,UNS:0.05156,UNS:0.051559,UNS:0.053578,UNS:0.075484,UNS:0.051867
170,UNS:0.051949,UNS:0.052103,UNS:0.052693,UNS:0.054058,-1.0,UNS:0.054277,UNS:0.052906,UNS:0.064656,UNS:0.061752,UNS:0.052644
171,UNS:0.052412,UNS:0.052915,SAT:1.167593,SAT:4.737984,UNS:0.056002,UNS:0.055621,UNS:0.059261,-1.0,SAT:2.593707,UNS:0.053494
172,UNS:0.051455,UNS:0.052375,-1.0,UNS:0.051996,UNS:0.051386,UNS:0.053508,UNS:0.05257,UNS:0.054755,UNS:0.052264,UNS:0.05394
173,UNS:0.051698,UNS:0.052476,UNS:0.055701,-1.0,UNS:0.053457,SAT:10.055287,UNS:0.057634,UNS:0.05966,UNS:0.058946,UNS:0.053895
174,UNS:0.05718,UNS:0.054076,-1.0,UNS:0.056142,UNS:0.053162,UNS:0.052416,UNS:0.053771,UNS:0.056772,UNS:0.070926,UNS:0.074722
175,UNS:0.053121,SAT:1.196511,TIMEOUT,TIMEOUT,TIMEOUT,SAT:23.742453,TIMEOUT,-1.0,TIMEOUT,TIMEOUT
176,UNS:0.057974,-1.0,TIMEOUT,SAT:5.545818,TIMEOUT,SAT:4.765502,TIMEOUT,SAT:3.513523,TIMEOUT,SAT:8.814678
177,UNS:0.052174,UNS:0.057695,UNS:0.05251,UNS:0.057972,UNS:0.05652,UNS:0.057577,UNS:0.065306,UNS:0.054379,-1.0,UNS:0.054007
178,UNS:0.05337,-1.0,UNS:0.053524,UNS:0.054537,UNS:0.05447,UNS:0.054499,UNS:0.054539,UNS:0.054977,UNS:0.051254,UNS:0.054056
179,UNS:0.053214,UNS:0.05473,UNS:0.055139,UNS:0.05362,UNS:0.055176,UNS:0.051675,UNS:0.054675,UNS:0.054617,-1.0,UNS:0.052974
180,UNS:0.056985,-1.0,UNS:0.052435,UNS:0.054385,UNS:0.055089,UNS:0.065293,UNS:0.056211,UNS:0.053146,UNS:0.053603,UNS:0.051984
181,UNS:0.054856,UNS:0.054205,UNS:0.052529,UNS:0.054163,UNS:0.05855,UNS:0.052852,UNS:0.055425,UNS:0.055435,-1.0,UNS:0.054967
182,UNS:0.053348,UNS:0.064908,UNS:0.055968,UNS:0.05386,UNS:0.052334,-1.0,UNS:0.054218,UNS:0.053251,UNS:0.055684,UNS:0.055347
183,-1.0,UNS:0.053565,UNS:0.058235,UNS:0.055449,UNS:0.052157,UNS:0.055122,UNS:0.053827,UNS:0.055992,UNS:0.060776,UNS:0.060942
184,UNS:0.054462,SAT:3.31375,SAT:1.759389,SAT:1.821999,UNS:0.061547,UNS:0.052849,UNS:0.057597,UNS:0.052811,-1.0,UNS:0.055386
185,UNS:0.062698,UNS:0.052665,UNS:0.057127,UNS:0.053114,UNS:0.070064,UNS:0.055374,UNS:0.055386,UNS:0.052725,UNS:0.055494,-1.0
186,UNS:0.058459,UNS:0.054478,-1.0,UNS:0.055344,UNS:0.05217,UNS:0.053158,UNS:0.056629,UNS:0.053868,UNS:0.052702,UNS:0.054811
187,UNS:0.053897,UNS:0.055225,UNS:0.054603,SAT:0.365856,UNS:0.053306,-1.0,UNS:0.053242,UNS:0.052543,UNS:0.052216,UNS:0.053357
188,-1.0,UNS:0.054868,UNS:0.054068,UNS:0.056189,UNS:0.053676,UNS:0.053479,UNS:0.060292,UNS:0.053437,UNS:0.053043,UNS:0.051788
189,UNS:0.055295,-1.0,TIMEOUT,SAT:13.149772,TIMEOUT,SAT:1.68573,TIMEOUT,SAT:1.243943,TIMEOUT,SAT:2.475709
190,UNS:0.053231,-1.0,UNS:0.056829,UNS:0.05713,UNS:0.060869,UNS:0.057713,UNS:0.060578,UNS:0.054501,UNS:0.073988,UNS:0.053117
191,UNS:0.072816,-1.0,UNS:0.057979,SAT:8.615101,TIMEOUT,SAT:5.281815,TIMEOUT,SAT:42.561419,TIMEOUT,TIMEOUT
192,-1.0,UNS:0.053766,UNS:0.052553,UNS:0.053217,UNS:0.057186,UNS:0.055197,UNS:0.053685,UNS:0.054119,UNS:0.05824,UNS:0.053256
193,UNS:0.063905,UNS:7.630099,SAT:5.311299,SAT:1.175175,SAT:3.180566,SAT:1.996167,UNS:0.054043,SAT:0.77249,UNS:0.104336,-1.0
194,-1.0,UNS:0.053058,UNS:0.054803,UNS:0.062195,UNS:0.055387,UNS:0.052223,UNS:0.055462,UNS:0.051582,UNS:0.054841,UNS:0.052719
195,UNS:0.055963,SAT:0.869173,UNS:0.051472,-1.0,SAT:1.611616,SAT:0.761073,TIMEOUT,SAT:0.414355,UNS:0.051791,SAT:14.180715
196,UNS:0.052084,-1.0,UNS:0.053038,UNS:0.067634,UNS:0.052394,UNS:0.052708,UNS:0.05206,UNS:0.053035,UNS:0.051612,UNS:0.052734
197,UNS:0.050727,UNS:0.052617,UNS:0.056987,UNS:0.055882,UNS:0.055148,UNS:0.058902,-1.0,UNS:0.052422,UNS:0.050818,UNS:0.051857
198,UNS:0.051839,UNS:0.05318,UNS:0.053737,UNS:0.054295,-1.0,UNS:0.055535,UNS:0.052391,UNS:0.052726,UNS:0.051943,UNS:0.053261
199,UNS:0.052588,UNS:0.052495,-1.0,UNS:0.052914,UNS:0.051825,UNS:0.057014,UNS:0.052078,UNS:0.052379,UNS:0.052273,UNS:0.050688
