,0,1,2,3,4,5,6,7,8,9
0,UNS:0.043462,UNS:0.041533,UNS:0.040408,UNS:0.04253,UNS:0.124011,UNS:0.041442,-1.0,UNS:0.045582,UNS:0.04135,UNS:0.042054
1,-1.0,UNS:0.038979,UNS:0.039545,UNS:0.039171,UNS:0.040923,UNS:0.039567,UNS:0.039586,UNS:0.039336,UNS:0.038733,UNS:0.039586
2,UNS:0.038941,UNS:0.038938,UNS:0.039351,UNS:0.03882,UNS:0.039976,-1.0,UNS:0.038976,UNS:0.039312,UNS:0.038974,UNS:0.04065
3,UNS:0.039631,UNS:0.044029,UNS:0.039274,UNS:0.038727,-1.0,UNS:0.038767,UNS:0.040149,UNS:0.041031,UNS:0.038568,UNS:0.039425
4,UNS:0.038417,UNS:0.042634,UNS:0.041794,UNS:0.039372,UNS:0.039187,SAT:0.702719,UNS:0.039777,UNS:0.044862,UNS:0.039274,-1.0
5,UNS:0.041584,UNS:0.042977,UNS:0.038932,UNS:0.041964,UNS:0.038108,UNS:0.040055,UNS:0.040907,UNS:0.039109,UNS:0.038815,-1.0
6,UNS:0.041985,UNS:0.041054,-1.0,UNS:0.038219,UNS:0.040102,UNS:0.038835,UNS:0.038743,UNS:0.03999,UNS:0.03821,UNS:0.039013
7,UNS:0.039394,-1.0,UNS:0.039311,UNS:0.038558,UNS:0.039483,UNS:0.039462,UNS:0.039023,UNS:0.040098,UNS:0.039203,UNS:0.04288
8,UNS:0.038917,UNS:0.039496,UNS:0.0405,UNS:0.040346,UNS:0.039249,UNS:0.038413,UNS:0.038624,UNS:0.04049,UNS:0.038512,-1.0
9,UNS:0.039587,UNS:0.04,UNS:0.038644,UNS:0.038644,-1.0,UNS:0.039615,UNS:0.041373,UNS:0.040408,UNS:0.044034,UNS:0.039048
10,UNS:0.039029,UNS:0.040238,UNS:0.03801,UNS:0.038759,UNS:0.041484,UNS:0.039144,UNS:0.038418,UNS:0.038832,-1.0,UNS:0.04005
11,UNS:0.040139,UNS:0.045201,UNS:0.112125,UNS:0.168652,UNS:0.038796,UNS:0.042119,UNS:0.038321,-1.0,UNS:0.039141,UNS:0.040322
12,UNS:0.041684,UNS:0.039037,UNS:0.042848,-1.0,UNS:0.038422,UNS:0.038278,UNS:0.04079,UNS:0.039685,UNS:0.038216,UNS:0.039276
13,UNS:0.039618,UNS:0.038496,UNS:0.038391,UNS:0.041382,UNS:0.041199,UNS:0.039671,UNS:0.039222,UNS:0.044011,UNS:0.038146,-1.0
